disruption_id,service_code,operator,disruption_type,start_time,duration_min,severity,affected_stops,resolved
D000000,N5,MidCity Transit,Vehicle Breakdown,2024-10-07 23:44:00,161,Medium,9,False
D000001,N10,Capital Night Buses,Police Incident,2024-11-23 01:38:00,43,Low,12,True
D000002,N14,Capital Night Buses,Flooding,2024-11-05 05:33:00,165,Medium,11,True
D000003,N4,UrbanNight Express,Police Incident,2024-11-26 05:02:00,7,Low,9,True
D000004,N1,NightLine Ltd,Vehicle Breakdown,2024-10-12 03:18:00,95,Medium,6,True
D000005,N24,MidCity Transit,Accident,2024-10-13 01:38:00,175,Low,2,True
D000006,N18,UrbanNight Express,Vehicle Breakdown,2024-11-25 02:05:00,27,Medium,15,True
D000007,N24,Capital Night Buses,Accident,2024-10-05 00:34:00,123,Low,16,True
D000008,N20,Capital Night Buses,Accident,2024-10-12 02:58:00,106,High,6,True
D000009,N9,Capital Night Buses,Vehicle Breakdown,2024-11-08 03:02:00,129,Low,7,True
D000010,N28,UrbanNight Express,Vehicle Breakdown,2024-10-16 23:27:00,39,Low,14,True
D000011,N14,MidCity Transit,Police Incident,2024-11-07 00:10:00,132,Medium,7,True
D000012,N17,MidCity Transit,Police Incident,2024-10-05 03:08:00,19,High,6,True
D000013,N20,StarRoute Services,Road Closure,2024-11-03 01:20:00,25,Low,6,True
D000014,N19,NightLine Ltd,Vehicle Breakdown,2024-12-02 04:16:00,51,Low,8,True
D000015,N14,NightLine Ltd,Vehicle Breakdown,2024-12-03 03:20:00,177,Low,10,True
D000016,N5,NightLine Ltd,Police Incident,2024-10-07 04:53:00,35,Low,1,True
D000017,N22,NightLine Ltd,Road Closure,2024-11-14 02:42:00,132,Medium,11,True
D000018,N27,NightLine Ltd,Special Event,2024-11-22 01:17:00,79,High,12,False
D000019,N21,MidCity Transit,Accident,2024-10-21 01:26:00,112,Low,11,True
D000020,N27,MidCity Transit,Flooding,2024-10-16 23:56:00,39,Low,7,False
D000021,N17,StarRoute Services,Special Event,2024-12-27 23:28:00,156,High,6,True
D000022,N1,UrbanNight Express,Police Incident,2024-12-02 02:07:00,101,Low,10,False
D000023,N18,MidCity Transit,Vehicle Breakdown,2024-12-07 03:22:00,166,Medium,1,True
D000024,N7,UrbanNight Express,Accident,2024-12-21 01:50:00,104,Low,13,True
D000025,N11,StarRoute Services,Special Event,2024-12-10 00:49:00,80,Low,16,False
D000026,N20,StarRoute Services,Police Incident,2024-10-29 22:24:00,87,Low,11,True
D000027,N19,MidCity Transit,Special Event,2024-11-15 05:38:00,63,Low,19,True
D000028,N7,UrbanNight Express,Flooding,2024-12-30 05:01:00,64,High,7,False
D000029,N1,NightLine Ltd,Flooding,2024-12-29 22:56:00,169,Low,12,True
D000030,N5,UrbanNight Express,Accident,2024-10-22 01:16:00,19,Low,5,True
D000031,N27,NightLine Ltd,Flooding,2024-10-30 03:45:00,155,Low,15,True
D000032,N2,StarRoute Services,Flooding,2024-10-03 02:07:00,137,Low,1,True
D000033,N5,NightLine Ltd,Accident,2024-10-19 22:40:00,54,Low,10,True
D000034,N14,MidCity Transit,Special Event,2024-10-26 04:10:00,115,Low,3,True
D000035,N11,MidCity Transit,Accident,2024-11-28 01:22:00,18,Low,15,True
D000036,N5,MidCity Transit,Flooding,2024-11-26 03:19:00,61,High,8,True
D000037,N3,MidCity Transit,Police Incident,2024-10-06 23:56:00,61,Medium,18,True
D000038,N21,MidCity Transit,Vehicle Breakdown,2024-11-13 04:21:00,109,Low,12,True
D000039,N24,Capital Night Buses,Police Incident,2024-12-11 22:41:00,131,Medium,14,True
D000040,N23,MidCity Transit,Special Event,2024-10-04 02:20:00,100,Medium,3,True
D000041,N28,UrbanNight Express,Accident,2024-10-11 23:36:00,111,Low,19,True
D000042,N16,Capital Night Buses,Special Event,2024-11-02 02:37:00,13,High,3,True
D000043,N2,MidCity Transit,Accident,2024-12-20 03:45:00,40,Low,1,True
D000044,N8,StarRoute Services,Road Closure,2024-12-22 02:37:00,12,Medium,13,False
D000045,N13,MidCity Transit,Flooding,2024-12-31 01:32:00,124,Low,9,True
D000046,N19,MidCity Transit,Vehicle Breakdown,2024-11-04 22:19:00,105,Medium,18,True
D000047,N18,UrbanNight Express,Police Incident,2024-12-03 01:58:00,103,Medium,16,True
D000048,N21,StarRoute Services,Flooding,2024-10-14 04:53:00,107,Medium,4,True
D000049,N4,UrbanNight Express,Flooding,2024-11-23 22:27:00,161,Medium,7,True
D000050,N10,MidCity Transit,Flooding,2024-10-26 04:50:00,77,Medium,5,True
D000051,N27,Capital Night Buses,Accident,2024-11-25 03:57:00,107,Low,11,True
D000052,N22,StarRoute Services,Road Closure,2024-12-16 03:23:00,42,Medium,4,True
D000053,N18,MidCity Transit,Accident,2024-10-23 23:27:00,166,Medium,7,True
D000054,N8,NightLine Ltd,Road Closure,2024-12-20 00:52:00,27,Low,14,False
D000055,N19,StarRoute Services,Police Incident,2024-11-08 23:11:00,22,Low,17,True
D000056,N26,Capital Night Buses,Police Incident,2024-10-18 00:59:00,94,High,10,True
D000057,N18,MidCity Transit,Accident,2024-10-21 23:28:00,41,Low,18,True
D000058,N14,Capital Night Buses,Vehicle Breakdown,2024-10-16 02:29:00,19,Medium,14,True
D000059,N25,NightLine Ltd,Special Event,2024-12-15 22:41:00,147,Low,7,True
D000060,N7,NightLine Ltd,Police Incident,2024-12-27 05:00:00,108,Low,2,True
D000061,N8,StarRoute Services,Flooding,2024-10-19 04:19:00,144,High,15,False
D000062,N17,NightLine Ltd,Accident,2024-12-14 04:18:00,136,Low,3,False
D000063,N3,MidCity Transit,Police Incident,2024-11-16 05:07:00,176,High,7,False
D000064,N8,StarRoute Services,Special Event,2024-11-17 01:29:00,143,Low,18,True
D000065,N16,Capital Night Buses,Flooding,2024-10-07 22:03:00,104,Low,9,True
D000066,N2,NightLine Ltd,Vehicle Breakdown,2024-10-17 02:13:00,5,High,12,True
D000067,N23,UrbanNight Express,Accident,2024-10-26 22:25:00,159,Low,19,True
D000068,N20,NightLine Ltd,Police Incident,2024-10-12 05:13:00,51,Medium,4,True
D000069,N24,StarRoute Services,Road Closure,2024-11-22 00:38:00,62,Low,1,True
D000070,N24,NightLine Ltd,Special Event,2024-10-02 02:15:00,70,Low,13,True
D000071,N20,StarRoute Services,Accident,2024-12-13 01:15:00,56,Low,6,True
D000072,N25,MidCity Transit,Flooding,2024-12-10 01:40:00,105,High,8,True
D000073,N8,MidCity Transit,Road Closure,2024-10-27 04:18:00,54,Low,4,True
D000074,N22,UrbanNight Express,Road Closure,2024-12-21 23:16:00,166,Medium,6,True
D000075,N7,MidCity Transit,Vehicle Breakdown,2024-11-28 04:46:00,107,Low,12,True
D000076,N23,Capital Night Buses,Road Closure,2024-11-21 22:34:00,42,Low,14,True
D000077,N16,UrbanNight Express,Vehicle Breakdown,2024-11-19 04:59:00,150,Low,12,True
D000078,N14,UrbanNight Express,Special Event,2024-11-03 01:49:00,83,High,10,True
D000079,N7,NightLine Ltd,Flooding,2024-12-10 22:42:00,48,High,1,False
D000080,N10,NightLine Ltd,Accident,2024-11-08 00:57:00,80,Low,11,True
